"college","STABBR","cost_estimate","percent_award","TUITIONFEE_OUT","UGDS","ADM_RATE","low_act","mid_act","high_act","award_type","net_cost"
"Villanova University","PA",68232,"Below 10%","47616","6835","0.4789",29,NA,32,"Set Rate",31232
"Washington & Jefferson College","PA",60646,"11%-40%","43226","1307","0.4347",23,26,28,"Full Tuition",14307.728
"Waynesburg University","PA",36000,"11%-40%","22030","1422","0.8561",20,NA,26,"Full Tuition",12383.84
"Westminster College","PA",48124.32,"41%-60%","34105","1103","0.9404",20,NA,26,"Full Tuition",11563.76
"Widener University","PA",61218,"61%-90%","41224","3244","0.6799",21,NA,25,"Full Tuition",17025.872
"Wilkes University","PA",53966,"11%-40%","32356","2358","0.8173",10,NA,12,"Full Tuition",19280.368
"Wilson College -PA","PA",NA,"11%-40%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"York College of PA","PA",NA,"11%-40%",NA,NA,NA,20,23,25,"Full Tuition",NA
"Bryant University","RI",60203,"11%-40%","39808","3430","0.7232",11,13,23,"Set Rate",23203
"Johnson & Wales University","RI",47678,"41%-60%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Providence College","RI",62998.39,"11%-40%","45400","3948","0.5678",23,26,28,"Set Rate",25998.39
"Roger Williams University","RI",52700,"11%-40%","31800","4536","0.7848",23,25,27,"Full Tuition",18610.4
"Salve Regina University","RI",57746,"11%-40%","36740","2122","0.7265",23,24,26,"Set Rate",20746
"Anderson University","SC",43450,"91%-100%","24860","2632","0.5494",21,NA,26,"Full Tuition",16800.08
"Coker College","SC",39796,"11%-40%","26568","1091","0.4966",18,NA,22,"Full Tuition",11315.104
"Columbia College","SC",42580.65,"61%-90%","28100","1385","0.8913",18,NA,24,"Full Tuition",12457.45
"Columbia International University","SC",34750,"Below 10%","20430","541","0.34",20,NA,26,"Full Tuition",12849.04
"Converse College","SC",34540,"11%-40%","16500","794","0.5775",20,NA,25,"Full Tuition",16852
"Erskine College","SC",50960,"61%-90%","33315","618","0.6428",18,NA,24,"Full Tuition",15246.32
"Furman University","SC",63706,"Below 10%","46012","2710","0.6354",25,28,30,"Set Rate",26706
"Limestone College","SC",40982,"11%-40%","23900","2955","0.4632",16,NA,21,"Full Tuition",15361.2
"Newberry College","SC",43678.47,"11%-40%","25000","1048","0.5606",18,NA,22,"Full Tuition",16878.47
"North Greenville University","SC",35565,"11%-40%","16290","2278","0.5797",20,NA,29,"Full Tuition",18102.12
"Presbyterian College","SC",51910,"11%-40%","36130","963","0.6231",20,NA,27,"Full Tuition",13178.64
"Southern Wesleyan University","SC",36710,"61%-90%","23620","1264","0.6224",11,18,20,"Full Tuition",11389.36
"Wofford College","SC",57788,"Below 10%","38705","1653","0.7181",23,NA,29,"Set Rate",20788
"Mount Marty College","SD",39418,"61%-90%","24406","585","0.7255",19,NA,25,"Full Tuition",13254.768
"University of Sioux Falls","SD",39785,"41%-60%","26240","1185","0.9215",20,NA,25,"Full Tuition",11655.72
"Belmont University","TN",57740,"11%-40%","30000","5933","0.8029",23,NA,28,"Full Tuition",25580
"Bryan College","TN",36775,"11%-40%",NA,NA,NA,19,22,25,"Full Tuition",NA
"Carson-Newman College","TN",40640,"11%-40%",NA,NA,NA,19,23,26,"Full Tuition",NA
"Christian Brothers University","TN",42740,"61%-90%","30166","1408","0.4597",21,NA,27,"Full Tuition",10402.048
"Johnson University","TN",47678,"91%-100%","12650","879","0.5779",19,NA,25,"Full Tuition",34117.2
"Lee University","TN",30130,"11%-40%","15000","4151","0.8547",21,NA,27,"Full Tuition",14050
"Lincoln Memorial University","TN",37135.42,"61%-90%","20546","1457","0.7437",19,NA,27,"Full Tuition",15110.108
"Martin Methodist College","TN",41000,"91%-100%","23200","1098","NULL",NA,NA,NA,"Full Tuition",16129.6
"Maryville College","TN",49266,"91%-100%","32866","1171","0.6678",20,NA,26,"Full Tuition",14033.648
"Milligan College","TN",43934,"61%-90%","29830","832","0.6517",22,NA,28,"Full Tuition",11956.24
"Rhodes College","TN",61606,"Below 10%","43224","2031","0.4687",27,NA,32,"Set Rate",24606
"Tennessee Wesleyan University","TN",31755.46,"61%-90%","22900","996","0.6479",19,NA,25,"Full Tuition",7206.66
"Union University","TN",50128,"11%-40%","29190","2239","0.6913",22,NA,29,"Full Tuition",18836.32
"University of the South","TN",60950,"11%-40%",NA,NA,NA,26,28,30,"Other Tuition",NA
"Abilene Christian University -TX","TX",NA,"11%-40%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Austin College","TX",52934,"91%-100%","36230","1233","0.541",22,NA,28,"Full Tuition",14095.44
"Baylor University","TX",60413,"Below 10%","40198","14139","0.4367",25,NA,30,"Full Tuition",17320.744
"Concordia University at Austin","TX",NA,"11%-40%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Criswell College","TX",22629.43,"Below 10%","8230","225","1",NA,NA,NA,"Full Tuition",13806.87
"Dallas Baptist University","TX",39453,"11%-40%","24890","3220","0.4191",19,NA,24,"Full Tuition",12770.92
"East Texas Baptist University","TX",37643,"91%-100%","24218","1164","0.5532",18,NA,23,"Full Tuition",11681.304
"Hardin-Simmons University","TX",39836,"91%-100%","24500","1575","0.6",19,NA,25,"Full Tuition",13572
"Houston Baptist University","TX",45894,"91%-100%","29800","2240","0.3323",20,NA,26,"Full Tuition",13948.4
"Howard Payne University","TX",39890,"91%-100%","25600","1052","0.8525",18,NA,23,"Full Tuition",12446.8
"McMurry University","TX",40470,"91%-100%","25763","1002","0.5334",16,NA,21,"Full Tuition",12852.064
"Schreiner University","TX",38502,"61%-90%","25086","1124","0.9014",19,NA,24,"Full Tuition",11609.808
"Southwestern University","TX",52526.3,"11%-40%","37560","1515","0.4422",23,NA,29,"Full Tuition",12261.98
"St. Edward's University","TX",59990,"11%-40%",NA,NA,NA,23,25,27,"Full Tuition",NA
"St. Mary's University","TX",59028,"91%-100%","27160","2292","0.552",20,NA,25,"Full Tuition",29912.48
"Texas Christian University","TX",62970,"11%-40%","40720","8851","0.4328",25,NA,30,"Set Rate",25970
"Texas Lutheran University","TX",42550,"91%-100%","27900","1320","0.5072",19,NA,23,"Full Tuition",12641.2
"Texas Wesleyan University","TX",42930,"11%-40%","24454","1787","0.4595",19,NA,23,"Full Tuition",16715.312
"Trinity University","TX",54088.5,"41%-60%","37856","2213","0.4803",27,NA,32,"Full Tuition",13506.868
"University of Dallas","TX",54976,"91%-100%","35800","1336","0.64",24,NA,30,"Full Tuition",16598.4
"University of Mary Hardin-Baylor","TX",39622,"91%-100%","26100","3173","0.804",20,NA,26,"Full Tuition",11642.8
"University of St. Thomas","TX",46406,"11%-40%","30310","1720","0.7803",22,NA,27,"Full Tuition",13913.68
"University of the Incarnate Word","TX",46766,"41%-60%","27798","6249","0.9222",18,NA,23,"Full Tuition",16966.544
"Wayland Baptist University","TX",32346,"11%-40%","13680","3828","0.9871",16,NA,23,"Other Tuition",-4654
"Westminster College ","UT",43929.92,"11%-40%","31528","2135","0.9595",22,NA,27,"Full Tuition",10131.904
"Bennington College","VT",71810,"41%-60%","48220","683","0.6306",26,29,32,"Set Rate",34810
"Champlain College","VT",58034,"11%-40%","37536","3249","0.6617",23,NA,29,"Set Rate",21034
"College of St. Joseph","VT",41566,"91%-100%","21900","228","0.7051",17,19,21,"Full Tuition",18089.2
"Goddard College","VT",26370.15,"11%-40%","15476","179","1",NA,NA,NA,"Full Tuition",9779.878
"Green Mountain College","VT",50274,"91%-100%","35340","581","0.6594",18,21,24,"Set Rate",13274
"Landmark College","VT",70010.1,"91%-100%","51330","443","0.5996",NA,NA,NA,"Set Rate",33010.1
"Marlboro College","VT",55625,"61%-90%","39250","179","0.9444",NA,28,NA,"Full Tuition",13549
"Norwich University","VT",56234,"41%-60%","36092","2805","0.5704",10,12,20,"Full Tuition",17543.376
"Saint Michael's College","VT",57570,"11%-40%","40750","1941","0.7596",11,13,24,"Set Rate",20570
"University of the Virgin Islands","VI",19915,"Below 10%","13834","2022","0.9497",16,NA,21,"Other Tuition",-17085
"Appalachian School of Law","VA",NA,"Below 10%","NULL","NULL","NULL",NA,NA,NA,"Full Tuition",NA
"Averett University","VA",46344,"11%-40%","30900","868","0.6127",17,NA,22,"Full Tuition",13219.2
"Bluefield College","VA",37783,"11%-40%","23296","884","0.9327",17,NA,22,"Other Tuition",783
"Bridgewater College","VA",49690,"11%-40%","31480","1823","0.4927",20,NA,27,"Full Tuition",15943.44
"Emory & Henry College","VA",50270,"41%-60%","30900","1010","0.7637",18,NA,24,"Full Tuition",17145.2
"Ferrum College","VA",46560,"91%-100%","30835","1328","0.7295",15,NA,21,"Full Tuition",13504.88
"Hampden-Sydney College","VA",61170,"41%-60%","41730","1087","0.5479",21,NA,27,"Full Tuition",16435.44
"Hollins University","VA",54205,"41%-60%","35635","630","0.6099",21,NA,30,"Other Tuition",17205
"Jefferson College of Health Sciences","VA",38984.38,"61%-90%","24400","798","NULL",12,15,17,"Full Tuition",12827.58
"Lynchburg College","VA",51490,"11%-40%","35555","2064","0.6941",19,NA,24,"Other Tuition",14490
"Mary Baldwin University","VA",43750,"41%-60%","30331","1265","0.9708",19,NA,25,"Other Tuition",6750
"Marymount University","VA",65735,"91%-100%","28310","2305","0.6848",19,NA,24,"Full Tuition",35386.68
"Randolph College","VA",54225,"11%-40%","35410","665","0.8053",19,NA,24,"Full Tuition",16265.48
"Randolph-Macon College","VA",54280,"61%-90%","37600","1405","0.6637",22,NA,27,"Other Tuition",17280
"Regent University","VA",29465.66,"Below 10%","16478","2736","0.8411",20,NA,26,"Full Tuition",11801.244
"Roanoke College","VA",59202,"11%-40%","39791","1961","0.7246",21,NA,27,"Full Tuition",16546.048
"Shenandoah University","VA",46190,"11%-40%","30760","1991","0.8205",19,NA,25,"Full Tuition",13215.28
"Sweet Briar College","VA",53897,"41%-60%","34935","236","0.9495",22,NA,27,"Full Tuition",16446.68
"University of Richmond","VA",64890,"11%-40%","48090","3210","0.3111",29,NA,32,"Set Rate",27890
"Virginia Wesleyan University","VA",NA,"61%-90%",NA,NA,NA,12,16,17,"Full Tuition",NA
"Cornish College of the Arts","WA",55794,"11%-40%","37240","720","0.6789",NA,NA,NA,"Set Rate",18794
"Gonzaga University","WA",57350,"Below 10%","37990","4965","0.7349",25,NA,29,"Set Rate",20350
"Heritage University","WA",17272,"",NA,NA,NA,NA,NA,NA,"",NA
"Pacific Lutheran University","WA",55170,"Below 10%","37950","2809","0.7555",22,NA,28,"Full Tuition",14487.6
"Saint Martin's University","WA",50686,"91%-100%","33194","1213","0.9312",21,NA,26,"Full Tuition",15102.032
"Seattle University","WA",56415,"Below 10%","39690","4587","0.7302",25,NA,29,"Full Tuition",13867.32
"University of Puget Sound","WA",63510,"Below 10%","44976","2476","0.7922",25,28,30,"Set Rate",26510
"Whitworth University","WA",57824,"Below 10%","39096","2320","0.6242",23,26,29,"Full Tuition",15913.088
"Bethany College","WV",42624,"91%-100%","26500","700","0.7021",17,NA,22,"Full Tuition",14216
"Davis and Elkins College","WV",40942,"91%-100%",NA,NA,NA,11,17,20,"Full Tuition",NA
"University of Charleston","WV",43900,"41%-60%","26100","1706","0.5244",19,NA,24,"Full Tuition",15920.8
"West Virginia Wesleyan College","WV",45253,"41%-60%","28792","1371","0.7722",20,NA,25,"Full Tuition",14387.976
"Wheeling Jesuit University","WV",40206,"Below 10%","28030","1024","0.6072",20,NA,25,"Full Tuition",10157.84
"Alverno College","WI",40418,"91%-100%","25660","1528","0.7716",16,NA,22,"Full Tuition",12910.48
"Beloit College","WI",59842,"41%-60%","45050","1271","0.6878",24,27,30,"Set Rate",22842
"Carroll University","WI",44150,"41%-60%","29535","2946","0.9397",21,NA,26,"Full Tuition",12488.48
"Carthage College","WI",57650,"61%-90%","38375","2862","0.7024",22,NA,28,"Full Tuition",16512
"Columbia College of Nursing","WI",NA,"Below 10%","NULL","150","NULL",NA,NA,NA,"Full Tuition",NA
"Concordia University","WI",NA,"91%-100%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Lakeland University","WI",41018,"61%-90%","25050","2196","0.9626",16,NA,22,"Full Tuition",14164.4
"Lawrence University","WI",57555.3,"11%-40%","43740","1527","0.6825",26,29,32,"Set Rate",20555.3
"Marian University","WI",47907,"61%-90%","27210","1538","0.839",17,NA,23,"Full Tuition",18737.88
"Northland College","WI",47493,"41%-60%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Ripon College","WI",52341,"91%-100%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"St. Norbert College","WI",48110,"11%-40%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Viterbo University","WI",39680,"11%-40%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
