"college","STABBR","cost_estimate","percent_award","TUITIONFEE_OUT","UGDS","ADM_RATE","low_act","mid_act","high_act","award_type","net_cost"
"National-Louis University","IL",NA,"11%-40%","10617","1210","0.8148",NA,NA,NA,"Full Tuition",NA
"North Central College","IL",51228,"61%-90%","35421","2633","0.5716",22,NA,27,"Full Tuition",13256.688
"North Park University","IL",41210,"11%-40%","25860","2139","0.4945",19,NA,24,"Full Tuition",13488.08
"Northern Baptist Theological Seminary","IL",NA,"Below 10%","NULL","NULL","NULL",NA,NA,NA,"Full Tuition",NA
"Quincy University -IL","IL",NA,"11%-40%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Resurrection University","IL",NA,"Below 10%","NULL","435","NULL",NA,NA,NA,"Full Tuition",NA
"Robert Morris University","IL",45072,"11%-40%",NA,NA,NA,20,22,26,"Full Tuition",NA
"Rockford University","IL",42920,"91%-100%","28330","1033","0.5382",19,NA,24,"Full Tuition",12550.24
"Roosevelt University","IL",48590,"11%-40%","27300","3197","0.7228",19,NA,25,"Set Rate",11590
"Saint Xavier University","IL",47776,"91%-100%","30920","2966","0.7467",19,NA,23,"Other Tuition",10776
"School of the Art Institute of Chicago, The","IL",65090,"11%-40%",NA,NA,NA,13,18,23,"Set Rate",NA
"Trinity International University","IL",42670,"11%-40%",NA,NA,NA,19,23,26,"Full Tuition",NA
"University of St. Francis","IL",44628,"41%-60%","29950","1642","0.5053",21,NA,25,"Full Tuition",12521.6
"Anderson University","IN",43450,"11%-40%","27680","1760","0.5962",21,NA,25,"Other Tuition",13777.04
"Butler University","IN",57055,"Below 10%","37010","4001","0.7043",25,NA,30,"Full Tuition",17380.28
"Calumet College of Saint Joseph","IN",22748.2,"Below 10%","17000","837","NULL",15,19,22,"Full Tuition",4524.2
"DePauw University","IN",62667,"61%-90%","44678","2229","0.6476",25,NA,29,"Set Rate",25667
"Franklin College ","IN",70730,"41%-60%","29025","1031","0.698",19,NA,24,"Full Tuition",39615.2
"Hanover College","IN",50450,"11%-40%","34514","1127","0.6128",22,NA,27,"Full Tuition",13450.992
"Holy Cross College","IN",43836,"91%-100%","27950","544","0.906",19,NA,24,"Full Tuition",13873.6
"Huntington University","IN",37296,"41%-60%","24822","926","0.8392",19,NA,26,"Full Tuition",10686.816
"Indiana Institute of Technology","IN",40290,"91%-100%","25600","6783","0.696",18,NA,24,"Full Tuition",12846.8
"Manchester University","IN",44028,"11%-40%","29910","1240","0.7063",19,NA,26,"Full Tuition",11964.48
"Marian University","IN",47907,"91%-100%","30500","1969","0.5611",20,NA,26,"Full Tuition",15211
"Oakland City University","IN",39042,"Below 10%","22800","548","0.5529",17,NA,22,"Full Tuition",14600.4
"Rose-Hulman Institute of Technology","IN",65058,"11%-40%","45141","2231","0.5779",28,NA,32,"Set Rate",28058
"Saint Mary-of-the-Woods College","IN",45064,"61%-90%","28932","579","0.5936",19,NA,23,"Other Tuition",8064
"Trine University","IN",46910,"11%-40%","30350","1713","0.7765",21,NA,27,"Full Tuition",14374.8
"University of Evansville","IN",50870,"61%-90%","32946","2125","0.6974",23,NA,29,"Full Tuition",15551.888
"University of Indianapolis","IN",40613.99,"41%-60%","26290","4139","0.7341",20,NA,25,"Full Tuition",12431.11
"University of Saint Francis","IN",51884,"41%-60%",NA,NA,NA,21,23,25,"Full Tuition",NA
"Valparaiso University","IN",52980,"61%-90%","36160","3125","0.819",23,NA,29,"Full Tuition",14216.48
"Wabash College","IN",54600,"41%-60%","39980","866","0.6143",22,NA,28,"Full Tuition",11741.44
"AIB College of Business","IA",NA,"Below 10%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Briar Cliff University","IA",43426,"41%-60%","28090","941","NULL",19,21,23,"Full Tuition",13313.52
"Buena Vista University","IA",45619,"61%-90%","31318","1873","0.6808",19,NA,24,"Full Tuition",12046.104
"Central College","IA",49910.15,"91%-100%","33345","1225","0.6428",20,NA,26,"Full Tuition",14164.31
"Clarke University","IA",45900,"61%-90%","29940","864","0.7192",20,NA,25,"Full Tuition",13804.32
"Coe College","IA",55240,"11%-40%","39080","1337","0.6335",22,NA,27,"Set Rate",18240
"Cornell College","IA",54933,"41%-60%","38700","1035","0.7045",23,NA,29,"Full Tuition",13446.6
"Drake University","IA",54020,"11%-40%","33696","3269","0.6687",24,NA,30,"Full Tuition",17897.888
"Graceland University","IA",41120,"61%-90%",NA,NA,NA,18,21,24,"Full Tuition",NA
"Grand View University","IA",38936,"41%-60%","24614","1889","0.9821",18,NA,23,"Full Tuition",12549.792
"Iowa Wesleyan University","IA",41304.14,"41%-60%","27286","455","0.4963",18,NA,22,"Full Tuition",12053.548
"Loras College","IA",43837,"11%-40%","30628","1444","0.9496",21,NA,26,"Full Tuition",11003.784
"Luther College","IA",53241.06,"41%-60%","39190","2286","0.6689",23,NA,29,"Set Rate",16241.06
